Classes,1985,1995,2005,2015,2023
Não Observado,0.0,0.0,0.0,0.0,0.0
Formação Florestal,94.05,77.3,59.52,44.8,35.12
Formação Savânica,0.02,0.01,0.0,0.0,0.0
Mangue,0.0,0.0,0.0,0.0,0.0
Floresta Alagável (beta),0.01,0.01,0.01,0.01,0.01
Plantação Florestal,0.0,0.0,0.0,0.0,0.0
Campo Alagado e Área Pantanosa,0.02,0.02,0.01,0.01,0.01
Formação Campestre,0.0,0.01,0.0,0.0,0.0
Pastagem,5.74,22.36,38.18,54.64,52.55
"Praia, Duna e Areal",0.0,0.0,0.0,0.0,0.0
Área Urbanizada,0.11,0.22,0.35,0.46,0.5
Outras Áreas não Vegetadas,0.0,0.0,0.34,0.0,0.18
Apicum,0.0,0.0,0.0,0.0,0.0
"Rio, Lago e Oceano",0.05,0.07,0.06,0.07,0.11
Soja,0.0,0.0,0.0,0.0,10.67
Outras Lavouras Temporárias,0.0,0.01,1.52,0.0,0.85
